Measurement,Left Distance,Right Distance,Ratio (L/R)
"От наивысшей точки брови до центра нижней губы",286.526,294.206,0.973896
"От середины брови, до центра нижней губы",296.624,309.026,0.959869
"От внешнего края глаза, до центра нижней губы",237.472,243.417,0.975576
"От нижней части носа, до края губ",75.6042,76.2758,0.991195
"От внешнего края глаза, до внутреннего края глаза",65.192,66.2722,0.983701
"От ноздри к нижнему, до центра нижней губы",94.921,96.933,0.979244
"От края губ, до центра нижней губы",67.6018,73.4302,0.920626
"От края глаз, до крыльев носа",237.472,243.417,0.975576
