Measurement,Left Distance,Right Distance,Ratio (L/R)
"От наивысшей точки брови до центра нижней губы",367.491,367.251,1.00066
"От середины брови, до центра нижней губы",398.734,397.468,1.00319
"От внешнего края глаза, до центра нижней губы",321.629,317.695,1.01238
"От нижней части носа, до края губ",123.167,116.25,1.0595
"От внешнего края глаза, до внутреннего края глаза",90.4434,86.8332,1.04158
"От ноздри к нижнему, до центра нижней губы",136.938,140.207,0.976684
"От края губ, до центра нижней губы",101.4,100.13,1.01269
"От края глаз, до крыльев носа",321.629,317.695,1.01238
