Measurement,Left Distance,Right Distance,Ratio (L/R)
"От наивысшей точки брови до центра нижней губы",327.698,332.343,0.986023
"От середины брови, до центра нижней губы",351.66,355.711,0.988614
"От внешнего края глаза, до центра нижней губы",280.856,285.323,0.984345
"От нижней части носа, до края губ",89.8053,94.921,0.946106
"От внешнего края глаза, до внутреннего края глаза",71.0634,73.171,0.971195
"От ноздри к нижнему, до центра нижней губы",129.356,127.472,1.01478
"От края губ, до центра нижней губы",77.666,83.5284,0.929814
"От края глаз, до крыльев носа",280.856,285.323,0.984345
