Measurement,Left Distance,Right Distance,Ratio (L/R)
"От наивысшей точки брови до центра нижней губы",737.426,757.39,0.973641
"От середины брови, до центра нижней губы",798.183,840.728,0.949395
"От внешнего края глаза, до центра нижней губы",627.475,673.09,0.932231
"От нижней части носа, до края губ",246.595,218.589,1.12812
"От внешнего края глаза, до внутреннего края глаза",186.85,187.542,0.996311
"От ноздри к нижнему, до центра нижней губы",221.111,250.503,0.882666
"От края губ, до центра нижней губы",208.969,242.207,0.862772
"От края глаз, до крыльев носа",627.475,673.09,0.932231
