Measurement,Left Distance,Right Distance,Ratio (L/R)
"От наивысшей точки брови до центра нижней губы",106.921,112.272,0.952335
"От середины брови, до центра нижней губы",113.464,126.779,0.89497
"От внешнего края глаза, до центра нижней губы",94.1541,104.561,0.900471
"От нижней части носа, до края губ",37.5366,38.8973,0.965019
"От внешнего края глаза, до внутреннего края глаза",27.074,27.074,1
"От ноздри к нижнему, до центра нижней губы",41.2311,43.8292,0.940721
"От края губ, до центра нижней губы",26.8328,32.28,0.831251
"От края глаз, до крыльев носа",94.1541,104.561,0.900471
