Measurement,Left Distance,Right Distance,Ratio (L/R)
"От наивысшей точки брови до центра нижней губы",95.5196,92.5743,1.03182
"От середины брови, до центра нижней губы",105.394,101.966,1.03363
"От внешнего края глаза, до центра нижней губы",82.801,82.1523,1.0079
"От нижней части носа, до края губ",33.0151,35.4683,0.930835
"От внешнего края глаза, до внутреннего края глаза",26,28.1603,0.923287
"От ноздри к нижнему, до центра нижней губы",37.5766,36.1386,1.03979
"От края губ, до центра нижней губы",23.7697,25.0799,0.947761
"От края глаз, до крыльев носа",82.801,82.1523,1.0079
