Measurement,Left Distance,Right Distance,Ratio (L/R)
"От наивысшей точки брови до центра нижней губы",469.936,476.875,0.985449
"От середины брови, до центра нижней губы",512.884,514.169,0.9975
"От внешнего края глаза, до центра нижней губы",412.885,411.666,1.00296
"От нижней части носа, до края губ",158.382,157.762,1.00393
"От внешнего края глаза, до внутреннего края глаза",132.673,127.035,1.04437
"От ноздри к нижнему, до центра нижней губы",166.643,166.385,1.00155
"От края губ, до центра нижней губы",130.614,134.373,0.972028
"От края глаз, до крыльев носа",412.885,411.666,1.00296
