Measurement,Left Distance,Right Distance,Ratio (L/R)
"От наивысшей точки брови до центра нижней губы",229.898,215.697,1.06584
"От середины брови, до центра нижней губы",248.073,225.894,1.09818
"От внешнего края глаза, до центра нижней губы",200.552,180.155,1.11321
"От нижней части носа, до края губ",74.6525,72.9452,1.02341
"От внешнего края глаза, до внутреннего края глаза",54.0833,53.0848,1.01881
"От ноздри к нижнему, до центра нижней губы",85.9593,82.6075,1.04057
"От края губ, до центра нижней губы",63.3482,60.803,1.04186
"От края глаз, до крыльев носа",200.552,180.155,1.11321
