Measurement,Left Distance,Right Distance,Ratio (L/R)
"От наивысшей точки брови до центра нижней губы",339.282,325.555,1.04216
"От середины брови, до центра нижней губы",380.171,354.742,1.07168
"От внешнего края глаза, до центра нижней губы",321.927,296.503,1.08575
"От нижней части носа, до края губ",112.508,105.702,1.06438
"От внешнего края глаза, до внутреннего края глаза",90.7965,87.2812,1.04028
"От ноздри к нижнему, до центра нижней губы",114.529,109.11,1.04967
"От края губ, до центра нижней губы",107.205,103.769,1.03312
"От края глаз, до крыльев носа",321.927,296.503,1.08575
